Timestamp,Value
Dec 2015,223
Jan 2016,168
Feb 2016,76.6
Mar 2016,35.4
Apr 2016,81.6
May 2016,38.6
Jun 2016,101.2
Jul 2016,61.8
Aug 2016,51
Sep 2016,11.4
Oct 2016,38.4
Nov 2016,44.8
Dec 2016,59.8
Jan 2017,24.4
Feb 2017,83
Mar 2017,69.4
Apr 2017,3.8
May 2017,30
Jun 2017,213.4
Jul 2017,66.4
Aug 2017,79.6
Sep 2017,71
Oct 2017,65.6
Nov 2017,47.6
Dec 2017,62.4
Jan 2018,101.4
Feb 2018,40.4
Mar 2018,92.2
Apr 2018,95
May 2018,14.4
Jun 2018,31.6
Jul 2018,47.2
Aug 2018,64
Sep 2018,64
Oct 2018,28.8
Nov 2018,65.6
Dec 2018,36.6
Jan 2019,9.8
Feb 2019,22.2
Mar 2019,96.6
Apr 2019,53.6
May 2019,98.4
Jun 2019,138
Jul 2019,97
Aug 2019,150.2
Sep 2019,89.2
Oct 2019,118.8
Nov 2019,106.4
Dec 2019,70
Jan 2020,86.2
Feb 2020,200.4
Mar 2020,62.4
Apr 2020,6.4
May 2020,31
Jun 2020,81
Jul 2020,81.6
Aug 2020,143.2
Sep 2020,46.2
Oct 2020,125.8
Nov 2020,62.4
Dec 2020,144.8
Jan 2021,125.8
Feb 2021,80.2
Mar 2021,62.8
Apr 2021,8.8
May 2021,111.6
Jun 2021,29.2
Jul 2021,78.6
Aug 2021,66.2
Sep 2021,51.6
Oct 2021,129.8
Nov 2021,40.8
Dec 2021,68.6
Jan 2022,26.6
Feb 2022,139.8
Mar 2022,28.8
Apr 2022,29.2
May 2022,35.4
Jun 2022,35.6
Jul 2022,34.4
Aug 2022,55.6
Sep 2022,111.2
Oct 2022,97.6
Nov 2022,121.8
Dec 2022,116.6
Jan 2023,50
Feb 2023,40
Mar 2023,69.6
Apr 2023,34.6
May 2023,21.8
Jun 2023,63.8
Jul 2023,78.4
Aug 2023,63.2
Sep 2023,88.8
Oct 2023,145.8
Nov 2023,82.4
Dec 2023,148.6
Jan 2024,97.6
Feb 2024,62.4
Mar 2024,112.6
Apr 2024,117.8
May 2024,215.4
Jun 2024,33.6
Jul 2024,69.2
Aug 2024,57.2
Sep 2024,57.4
Oct 2024,67
Nov 2024,26
Dec 2024,77.6
Jan 2025,63.2
Feb 2025,34.6
Mar 2025,24.2
Apr 2025,22.8
May 2025,29.6
Jun 2025,63.2
Jul 2025,56.4
Aug 2025,25.6
Sep 2025,40.2
Oct 2025,54.2
Nov 2025,112.6
